Created,User Name,Page Name,state,state_code,gov_party,state_pop_2010,total_daily_posts,daily_positive_eng,daily_negative_eng,daily_total_interactions,daily_comments,daily_shares,total_confirmed,total_deaths
2020-01-22,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,4,18,2,85,0,65,0,0
2020-01-22,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,2,23,5,87,9,50,0,0
2020-01-22,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,1,5,0,14,0,9,0,0
2020-01-22,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,3,12,0,15,0,3,0,0
2020-01-22,capublichealth,California Department of Public Health,California,CA,democratic,39557045,2,20,0,26,0,6,0,0
2020-01-22,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,5,114,1,126,2,9,0,0
2020-01-22,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,1,1,0,1,0,0,0,0
2020-01-22,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,2,3,0,5,0,2,0,0
2020-01-22,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,3,66,0,100,1,33,0,0
2020-01-22,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,3,9,0,11,0,2,0,0
2020-01-22,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,2,9,1,35,16,9,0,0
2020-01-22,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,7,19,0,58,1,38,0,0
2020-01-22,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,2,10,0,20,2,8,0,0
2020-01-22,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,2,16,0,28,3,9,0,0
2020-01-22,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,4,10,0,20,2,8,0,0
2020-01-22,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,1,5,2,10,1,2,0,0
2020-01-22,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,1,7,0,17,0,10,0,0
2020-01-22,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,1,29,1,73,0,43,0,0
2020-01-22,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,2,2,0,5,0,3,0,0
2020-01-22,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,8,0,15,0,7,0,0
2020-01-22,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,1,2,0,3,1,0,0,0
2020-01-22,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,2,39,4,77,17,17,0,0
2020-01-22,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,4,45,0,54,3,6,0,0
2020-01-22,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,2,52,0,62,1,9,0,0
2020-01-22,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,2,13,0,20,0,7,0,0
2020-01-22,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,3,55,0,124,6,63,0,0
2020-01-22,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,6,71,1,89,3,14,0,0
2020-01-22,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,2,4,1,17,4,8,0,0
2020-01-22,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,1,9,0,29,0,20,0,0
2020-01-22,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,1,5,0,12,0,7,0,0
2020-01-22,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,1,60,13,151,13,65,0,0
2020-01-22,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,7,63,3,156,17,73,0,0
2020-01-22,scdhec,SC DHEC,South Carolina,SC,republican,5084127,3,5,0,14,0,9,0,0
2020-01-22,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,3,17,2,31,0,12,0,0
2020-01-22,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,1,11,0,18,1,6,0,0
2020-01-22,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,3,31,7,66,0,28,0,0
2020-01-22,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,4,47,0,80,0,33,0,0
2020-01-22,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,1,2,0,5,0,3,0,0
2020-01-22,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,1,16,1,22,0,5,0,0
2020-01-22,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,2,1,0,1,0,0,0,0
2020-01-22,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,2,11,0,36,1,24,0,0
2020-01-23,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,5,22,1,40,0,17,0,0
2020-01-23,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,1,6,0,11,0,5,0,0
2020-01-23,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,1,1,0,4,0,3,0,0
2020-01-23,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,4,28,0,48,1,19,0,0
2020-01-23,capublichealth,California Department of Public Health,California,CA,democratic,39557045,2,16,0,37,0,21,0,0
2020-01-23,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,1,3,0,3,0,0,0,0
2020-01-23,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,2,346,0,397,12,39,0,0
2020-01-23,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,1,0,0,0,0,0,0,0
2020-01-23,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,1,35,0,99,15,49,0,0
2020-01-23,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,3,29,0,36,1,6,0,0
2020-01-23,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,2,4,0,8,0,4,0,0
2020-01-23,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,1,0,0,1,0,1,0,0
2020-01-23,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,4,11,0,38,11,16,0,0
2020-01-23,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,2,3,0,10,0,7,0,0
2020-01-23,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,4,90,3,213,6,114,0,0
2020-01-23,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,4,37,0,63,3,23,0,0
2020-01-23,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,3,94,0,160,18,48,0,0
2020-01-23,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,1,8,0,39,0,31,0,0
2020-01-23,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,1,13,0,23,1,9,0,0
2020-01-23,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,1,0,0,3,0,3,0,0
2020-01-23,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,7,0,68,0,61,0,0
2020-01-23,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,4,24,4,49,6,15,0,0
2020-01-23,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,3,42,0,47,0,5,0,0
2020-01-23,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,2,13,0,34,0,21,0,0
2020-01-23,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,2,11,0,17,0,6,0,0
2020-01-23,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,3,57,0,95,2,36,0,0
2020-01-23,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,3,56,0,69,4,9,0,0
2020-01-23,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,2,33,0,41,4,4,0,0
2020-01-23,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,2,22,0,53,4,27,0,0
2020-01-23,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,1,5,0,15,0,10,0,0
2020-01-23,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,24,0,54,0,30,0,0
2020-01-23,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,1,1,0,4,1,2,0,0
2020-01-23,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,8,52,0,100,9,39,0,0
2020-01-23,scdhec,SC DHEC,South Carolina,SC,republican,5084127,2,6,0,10,0,4,0,0
2020-01-23,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,2,9,0,14,0,5,0,0
2020-01-23,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,2,22,0,34,1,11,0,0
2020-01-23,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,5,78,0,212,5,129,0,0
2020-01-23,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,2,4,0,9,2,3,0,0
2020-01-23,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,6,235,2,1112,253,622,0,0
2020-01-23,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,1,2,0,2,0,0,0,0
2020-01-23,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,3,2,0,12,1,9,0,0
2020-01-24,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,5,29,0,199,12,158,0,0
2020-01-24,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,2,331,35,501,35,100,0,0
2020-01-24,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,1,5,0,6,0,1,0,0
2020-01-24,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,3,9,0,16,0,7,0,0
2020-01-24,capublichealth,California Department of Public Health,California,CA,democratic,39557045,1,7,0,24,9,8,0,0
2020-01-24,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,1,15,0,41,1,25,0,0
2020-01-24,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,8,38,0,53,1,14,0,0
2020-01-24,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,2,1,0,1,0,0,0,0
2020-01-24,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,2,1,0,1,0,0,0,0
2020-01-24,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,4,43,0,60,8,9,0,0
2020-01-24,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,2,12,0,15,0,3,0,0
2020-01-24,gadph,Georgia Department of Public Health,Georgia,GA,republican,10519475,1,21,0,97,3,73,0,0
2020-01-24,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,1,1,0,1,0,0,0,0
2020-01-24,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,5,48,0,114,20,46,0,0
2020-01-24,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,2,50,4,229,31,144,0,0
2020-01-24,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,2,93,8,875,44,730,1,0
2020-01-24,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,2,139,0,328,26,163,0,0
2020-01-24,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,1,8,0,10,0,2,0,0
2020-01-24,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,7,0,15,0,8,0,0
2020-01-24,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,4,16,1,48,0,31,0,0
2020-01-24,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,3,79,2,174,22,71,0,0
2020-01-24,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,2,102,2,165,21,40,0,0
2020-01-24,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,2,23,1,49,0,25,0,0
2020-01-24,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,2,34,0,50,0,16,0,0
2020-01-24,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,2,34,0,145,7,104,0,0
2020-01-24,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,3,24,0,31,3,4,0,0
2020-01-24,nvhealthandhumanservices,Nevada Department of Health and Human Services,Nevada,NV,democratic,3034392,1,4,0,11,1,6,0,0
2020-01-24,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,2,8,0,21,3,10,0,0
2020-01-24,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,1,29,0,112,1,82,0,0
2020-01-24,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,11,0,23,2,10,0,0
2020-01-24,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,3,145,8,240,32,55,0,0
2020-01-24,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,6,31,1,61,7,22,0,0
2020-01-24,scdhec,SC DHEC,South Carolina,SC,republican,5084127,5,28,0,51,2,21,0,0
2020-01-24,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,1,3,0,4,0,1,0,0
2020-01-24,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,1,27,0,29,1,1,0,0
2020-01-24,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,2,149,0,1002,15,838,0,0
2020-01-24,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,4,109,0,149,14,26,0,0
2020-01-24,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,2,14,0,26,2,10,0,0
2020-01-24,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,4,235,0,513,8,270,0,0
2020-01-25,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,1,2,0,2,0,0,0,0
2020-01-25,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,1,16,0,56,2,38,0,0
2020-01-25,capublichealth,California Department of Public Health,California,CA,democratic,39557045,1,45,0,109,1,63,0,0
2020-01-25,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,1,71,11,179,20,77,0,0
2020-01-25,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,1,4,0,5,0,1,0,0
2020-01-25,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,1,3,0,4,0,1,0,0
2020-01-25,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,1,7,0,12,0,5,0,0
2020-01-25,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,2,13,0,15,0,2,0,0
2020-01-25,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,1,9,0,12,0,3,0,0
2020-01-25,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,1,0,0,2,1,1,0,0
2020-01-25,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,1,2,0,6,0,4,0,0
2020-01-25,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,6,0,8,0,2,0,0
2020-01-25,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,2,16,0,31,1,14,0,0
2020-01-25,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,1,9,0,9,0,0,0,0
2020-01-25,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,1,6,0,7,0,1,0,0
2020-01-25,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,1,58,0,174,11,105,0,0
2020-01-25,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,16,0,52,0,36,0,0
2020-01-25,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,1,11,0,20,2,7,0,0
2020-01-25,scdhec,SC DHEC,South Carolina,SC,republican,5084127,2,8,0,11,0,3,0,0
2020-01-25,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,4,363,2,783,19,399,0,0
2020-01-25,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,2,0,0,1,1,0,0,0
2020-01-26,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,1,15,0,16,1,0,0,0
2020-01-26,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,1,9,0,34,0,25,1,0
2020-01-26,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,2,101,4,130,3,22,0,0
2020-01-26,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,1,1,0,5,0,4,0,0
2020-01-26,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,1,11,0,14,0,3,0,0
2020-01-26,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,1,0,0,4,0,4,0,0
2020-01-26,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,3,21,0,45,3,21,0,0
2020-01-26,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,1,87,0,171,8,76,0,0
2020-01-26,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,1,2,0,2,0,0,0,0
2020-01-26,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,1,5,0,26,0,21,0,0
2020-01-26,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,1,27,0,29,0,2,0,0
2020-01-26,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,1,6,0,11,0,5,0,0
2020-01-26,scdhec,SC DHEC,South Carolina,SC,republican,5084127,2,13,0,23,1,9,0,0
2020-01-26,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,2,25,0,75,1,49,0,0
2020-01-26,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,1,41,1,237,0,195,0,0
2020-01-26,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,1,1,0,1,0,0,0,0
2020-01-27,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,6,16,0,42,0,26,0,0
2020-01-27,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,1,6,0,10,0,4,0,0
2020-01-27,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,4,18,3,51,1,29,0,0
2020-01-27,capublichealth,California Department of Public Health,California,CA,democratic,39557045,1,36,1,103,2,64,0,0
2020-01-27,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,1,61,0,157,3,93,0,0
2020-01-27,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,7,268,1,318,7,42,0,0
2020-01-27,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,2,3,0,3,0,0,0,0
2020-01-27,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,1,1,0,2,0,1,0,0
2020-01-27,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,4,56,0,121,2,63,0,0
2020-01-27,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,6,69,0,91,3,19,0,0
2020-01-27,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,3,33,0,74,27,14,0,0
2020-01-27,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,1,4,0,4,0,0,0,0
2020-01-27,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,2,25,1,114,3,85,0,0
2020-01-27,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,2,6,0,10,0,4,0,0
2020-01-27,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,1,1,0,2,0,1,0,0
2020-01-27,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,1,27,0,55,2,26,0,0
2020-01-27,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,2,19,0,31,1,11,0,0
2020-01-27,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,2,27,3,96,2,64,0,0
2020-01-27,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,2,7,0,37,0,30,0,0
2020-01-27,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,5,194,15,337,25,103,0,0
2020-01-27,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,1,9,0,10,0,1,0,0
2020-01-27,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,3,14,0,23,0,9,0,0
2020-01-27,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,3,52,0,79,1,26,0,0
2020-01-27,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,2,9,0,20,1,10,0,0
2020-01-27,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,2,54,0,81,4,23,0,0
2020-01-27,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,2,23,0,53,0,30,0,0
2020-01-27,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,2,19,1,56,14,22,0,0
2020-01-27,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,2,22,0,67,5,40,0,0
2020-01-27,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,11,0,19,0,8,0,0
2020-01-27,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,1,3,0,5,0,2,0,0
2020-01-27,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,9,69,4,208,21,114,0,0
2020-01-27,scdhec,SC DHEC,South Carolina,SC,republican,5084127,2,1,0,3,2,0,0,0
2020-01-27,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,1,6,0,10,0,4,0,0
2020-01-27,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,5,63,0,93,4,26,0,0
2020-01-27,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,1,22,0,31,0,9,0,0
2020-01-27,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,5,274,6,392,6,106,0,0
2020-01-27,utahdepofhealth,Utah Department of Health,Utah,UT,republican,3161105,1,4,1,10,0,5,0,0
2020-01-27,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,1,57,0,126,4,65,0,0
2020-01-27,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,2,0,0,0,0,0,0,0
2020-01-27,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,1,4,0,15,0,11,0,0
2020-01-28,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,5,14,0,35,4,17,0,0
2020-01-28,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,1,2,0,3,0,1,0,0
2020-01-28,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,1,4,0,4,0,0,0,0
2020-01-28,capublichealth,California Department of Public Health,California,CA,democratic,39557045,1,19,0,133,3,111,0,0
2020-01-28,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,1,53,0,85,0,32,0,0
2020-01-28,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,6,33,0,46,0,13,0,0
2020-01-28,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,1,1,0,1,0,0,0,0
2020-01-28,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,2,3,0,28,4,21,0,0
2020-01-28,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,3,85,0,483,12,386,0,0
2020-01-28,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,6,40,1,73,0,32,0,0
2020-01-28,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,1,2,0,3,1,0,0,0
2020-01-28,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,6,49,2,117,45,21,0,0
2020-01-28,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,1,4,0,9,0,5,0,0
2020-01-28,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,3,22,0,34,4,8,0,0
2020-01-28,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,4,102,3,568,52,411,0,0
2020-01-28,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,3,5,0,8,2,1,0,0
2020-01-28,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,1,14,0,44,9,21,0,0
2020-01-28,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,1,9,0,19,0,10,0,0
2020-01-28,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,2,17,0,25,0,8,0,0
2020-01-28,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,5,0,12,0,7,0,0
2020-01-28,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,2,7,0,9,0,2,0,0
2020-01-28,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,3,27,35,92,1,29,0,0
2020-01-28,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,2,11,0,14,0,3,0,0
2020-01-28,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,2,17,0,33,2,14,0,0
2020-01-28,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,1,3,0,4,0,1,0,0
2020-01-28,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,3,49,0,210,3,158,0,0
2020-01-28,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,1,20,0,34,0,14,0,0
2020-01-28,nvhealthandhumanservices,Nevada Department of Health and Human Services,Nevada,NV,democratic,3034392,2,40,0,46,2,4,0,0
2020-01-28,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,2,20,2,41,1,18,0,0
2020-01-28,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,2,57,3,354,1,293,0,0
2020-01-28,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,7,16,0,30,0,14,0,0
2020-01-28,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,1,8,0,21,0,13,0,0
2020-01-28,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,9,66,0,151,10,75,0,0
2020-01-28,scdhec,SC DHEC,South Carolina,SC,republican,5084127,1,4,0,6,0,2,0,0
2020-01-28,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,3,11,0,29,0,18,0,0
2020-01-28,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,1,21,7,71,2,41,0,0
2020-01-28,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,6,45,0,83,2,36,0,0
2020-01-28,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,3,17,0,26,0,9,0,0
